"symbol"	"ensembl_gene_id"	"entrez_id"
"ALPL"	"ENSG00000162551"	249
"ALX3"	"ENSG00000156150"	257
"ALX4"	"ENSG00000052850"	60529
"AMBRA1"	"ENSG00000110497"	55626
"AMHR2"	"ENSG00000135409"	269
"AMIGO1"	"ENSG00000181754"	57463
"AMIGO2"	"ENSG00000139211"	347902
"AMN1"	"ENSG00000151743"	196394
"AMOTL1"	"ENSG00000166025"	154810
"AMPD1"	"ENSG00000116748"	270
"AMPD2"	"ENSG00000116337"	271
"AMPD3"	"ENSG00000133805"	272
"AMY1A"	"ENSG00000237763"	276
"AMY2A"	"ENSG00000243480"	279
"AMY2B"	"ENSG00000240038"	280
"ANAPC15"	"ENSG00000110200"	25906
"ANAPC16"	"ENSG00000166295"	119504
"ANGEL2"	"ENSG00000174606"	90806
"ANGPTL1"	"ENSG00000116194"	9068
"ANGPTL3"	"ENSG00000132855"	27329
"ANGPTL5"	"ENSG00000187151"	253935
"ANGPTL7"	"ENSG00000171819"	10218
"ANK3"	"ENSG00000151150"	288
"ANKK1"	"ENSG00000170209"	255239
"ANKRD1"	"ENSG00000148677"	27063
"ANKRD13C"	"ENSG00000118454"	81573
"ANKRD13D"	"ENSG00000172932"	338692
"ANKRD16"	"ENSG00000134461"	54522
"ANKRD2"	"ENSG00000165887"	26287
"ANKRD22"	"ENSG00000152766"	118932
"ANKRD26"	"ENSG00000107890"	22852
"ANKRD30A"	"ENSG00000148513"	91074
"ANKRD33"	"ENSG00000167612"	341405
"ANKRD34A"	"ENSG00000272031"	284615
"ANKRD35"	"ENSG00000198483"	148741
"ANKRD42"	"ENSG00000137494"	338699
"ANKRD45"	"ENSG00000183831"	339416
"ANKRD49"	"ENSG00000168876"	54851
"ANKRD52"	"ENSG00000139645"	283373
"ANKRD65"	"ENSG00000235098"	441869
"ANO1"	"ENSG00000131620"	55107
"ANO2"	"ENSG00000047617"	57101
"ANO3"	"ENSG00000134343"	63982
"ANO5"	"ENSG00000171714"	203859
"ANO5"	"ENSG00000171714"	102723370
"ANO6"	"ENSG00000177119"	196527
"ANO9"	"ENSG00000185101"	338440
"ANP32D"	"ENSG00000139223"	23519
"ANP32E"	"ENSG00000143401"	81611
"ANXA11"	"ENSG00000122359"	311
"ANXA7"	"ENSG00000138279"	310
"ANXA8"	"ENSG00000265190"	653145
"ANXA8L1"	"ENSG00000264230"	728113
"ANXA9"	"ENSG00000143412"	8416
"AP2A2"	"ENSG00000280759"	161
"AP2A2"	"ENSG00000281385"	161
