	mean_rank_filtered	auroc	auprc
hyperbolo_adipose_logal_agg_dimensions_dim4rep0_fold_0	5394.780303030303	0.6708925619834711	0.06626579027278318
hyperbolo_adipose_logal_agg_dimensions_dim4rep0_fold_1	6158.717557251908	0.6302290076335877	0.05811950903284822
hyperbolo_adipose_logal_agg_dimensions_dim4rep0_fold_2	6159.374045801526	0.6168160999306037	0.0546144359000722
hyperbolo_adipose_logal_agg_dimensions_dim4rep0_fold_3	5656.87786259542	0.6551391593428155	0.054385495755673904
hyperbolo_adipose_logal_agg_dimensions_dim4rep1_fold_0	6010.015151515152	0.6321395775941231	0.05517216165054094
hyperbolo_adipose_logal_agg_dimensions_dim4rep1_fold_1	5317.656488549618	0.6805514688873467	0.06824213333488094
hyperbolo_adipose_logal_agg_dimensions_dim4rep1_fold_2	6890.206106870229	0.5841795049733981	0.045104249177822714
hyperbolo_adipose_logal_agg_dimensions_dim4rep1_fold_3	5156.679389312977	0.6860992440452833	0.06639654129916728
hyperbolo_adipose_logal_agg_dimensions_dim4rep2_fold_0	5188.545454545455	0.6888062442607897	0.07925979522934953
hyperbolo_adipose_logal_agg_dimensions_dim4rep2_fold_1	5931.67175572519	0.645055748322924	0.05843772871548461
hyperbolo_adipose_logal_agg_dimensions_dim4rep2_fold_2	5966.0	0.6349942169789498	0.0538889729346735
hyperbolo_adipose_logal_agg_dimensions_dim4rep2_fold_3	5258.778625954198	0.6807035339587297	0.0791883761650572
hyperbolo_adipose_logal_agg_dimensions_dim4rep3_fold_0	5173.871212121212	0.6875133149678604	0.0632980878145614
hyperbolo_adipose_logal_agg_dimensions_dim4rep3_fold_1	6735.343511450382	0.5910987739995374	0.060189070492884314
hyperbolo_adipose_logal_agg_dimensions_dim4rep3_fold_2	6202.786259541985	0.6189257460097155	0.04995599433906203
hyperbolo_adipose_logal_agg_dimensions_dim4rep3_fold_3	5749.7099236641225	0.6520183472653098	0.0688713517058273
hyperbolo_adipose_logal_agg_dimensions_dim8rep0_fold_0	5585.848484848485	0.6617685950413223	0.0704763094685261
hyperbolo_adipose_logal_agg_dimensions_dim8rep0_fold_1	5026.954198473282	0.6914790654637982	0.0734177948396857
hyperbolo_adipose_logal_agg_dimensions_dim8rep0_fold_2	5511.229007633588	0.6609021512838307	0.06289598832214095
hyperbolo_adipose_logal_agg_dimensions_dim8rep0_fold_3	5001.1297709923665	0.6928461954228089	0.07287265273670054
hyperbolo_adipose_logal_agg_dimensions_dim8rep1_fold_0	5482.878787878788	0.666751147842057	0.07684536172161296
hyperbolo_adipose_logal_agg_dimensions_dim8rep1_fold_1	5642.366412213741	0.6594605597964378	0.06269358578276582
hyperbolo_adipose_logal_agg_dimensions_dim8rep1_fold_2	6018.908396946565	0.6376941938468655	0.053753802459612476
hyperbolo_adipose_logal_agg_dimensions_dim8rep1_fold_3	5302.847328244275	0.6766609161786156	0.07387453468002587
hyperbolo_adipose_logal_agg_dimensions_dim8rep2_fold_0	5207.712121212121	0.6812764003673094	0.0681025580677212
hyperbolo_adipose_logal_agg_dimensions_dim8rep2_fold_1	5583.839694656489	0.6632449687716864	0.08576819611874006
hyperbolo_adipose_logal_agg_dimensions_dim8rep2_fold_2	5672.3893129770995	0.654084663428175	0.06970946161206501
hyperbolo_adipose_logal_agg_dimensions_dim8rep2_fold_3	5749.801526717557	0.64503261489253	0.07166118644623894
hyperbolo_adipose_logal_agg_dimensions_dim8rep3_fold_0	5392.113636363636	0.6650523415977961	0.0619958985632417
hyperbolo_adipose_logal_agg_dimensions_dim8rep3_fold_1	5031.847328244275	0.6902225306500116	0.0665978992887307
hyperbolo_adipose_logal_agg_dimensions_dim8rep3_fold_2	5674.6106870229005	0.6495766828591256	0.061205696759327424
hyperbolo_adipose_logal_agg_dimensions_dim8rep3_fold_3	4852.625954198474	0.7041577509421668	0.07538026786686604
hyperbolo_adipose_logal_agg_dimensions_dim12rep0_fold_0	5101.454545454545	0.6897410468319558	0.08177804059539681
hyperbolo_adipose_logal_agg_dimensions_dim12rep0_fold_1	5425.618320610687	0.6696960444136015	0.06360646351514848
hyperbolo_adipose_logal_agg_dimensions_dim12rep0_fold_2	5566.030534351145	0.6587851029377747	0.06111993657897831
hyperbolo_adipose_logal_agg_dimensions_dim12rep0_fold_3	5384.160305343511	0.6707506237922124	0.06670520858474913
hyperbolo_adipose_logal_agg_dimensions_dim12rep1_fold_0	6096.106060606061	0.6282993572084481	0.05537407345980997
hyperbolo_adipose_logal_agg_dimensions_dim12rep1_fold_1	5711.580152671756	0.6522026370575988	0.06729403864227348
hyperbolo_adipose_logal_agg_dimensions_dim12rep1_fold_2	5775.6488549618325	0.6467823270876707	0.059777149102497415
hyperbolo_adipose_logal_agg_dimensions_dim12rep1_fold_3	5568.961832061069	0.6587190232561584	0.0535020393722519
hyperbolo_adipose_logal_agg_dimensions_dim12rep2_fold_0	5517.719696969697	0.6675592286501377	0.07832444929964381
hyperbolo_adipose_logal_agg_dimensions_dim12rep2_fold_1	5401.053435114503	0.6712764284061994	0.0613460008540277
hyperbolo_adipose_logal_agg_dimensions_dim12rep2_fold_2	5767.93893129771	0.6478649086282675	0.060995275172332684
hyperbolo_adipose_logal_agg_dimensions_dim12rep2_fold_3	5362.3511450381675	0.6733642576317367	0.06550872307792881
hyperbolo_adipose_logal_agg_dimensions_dim12rep3_fold_0	5685.825757575758	0.653801652892562	0.06738660121483932
hyperbolo_adipose_logal_agg_dimensions_dim12rep3_fold_1	5333.160305343511	0.6791542910016193	0.07374883298388722
