	mean_rank_filtered	auroc	auprc
hyperbolo_intactdirect_logal_agg_dimensions_dim16rep0_fold_2	5379.679389312977	0.6753671061762664	0.07012731592959845
hyperbolo_intactdirect_logal_agg_dimensions_dim16rep0_fold_3	4869.541984732825	0.6971442533373808	0.08813095770352682
hyperbolo_intactdirect_logal_agg_dimensions_dim16rep1_fold_0	4571.962121212121	0.7213223140495868	0.1129759451784919
hyperbolo_intactdirect_logal_agg_dimensions_dim16rep1_fold_1	4780.801526717557	0.7088429331482766	0.09486747309661232
hyperbolo_intactdirect_logal_agg_dimensions_dim16rep1_fold_2	4722.519083969466	0.7124015729817256	0.10433297791126682
hyperbolo_intactdirect_logal_agg_dimensions_dim16rep1_fold_3	4444.8091603053435	0.7234749483566686	0.086960945792257
hyperbolo_intactdirect_logal_agg_dimensions_dim16rep2_fold_0	6.94981365867903e-310	6.94981365823477e-310	6.94981365878496e-310
hyperbolo_intactdirect_logal_agg_dimensions_dim16rep2_fold_1	6.9498136586569e-310	6.9498136588324e-310	6.9498136584893e-310
hyperbolo_intactdirect_logal_agg_dimensions_dim16rep2_fold_2	6.9498136581399e-310	6.94981365855097e-310	6.9498136586063e-310
hyperbolo_intactdirect_logal_agg_dimensions_dim16rep2_fold_3	6.94981365855887e-310	6.9498136583644e-310	6.94981365830907e-310
hyperbolo_intactdirect_logal_agg_dimensions_dim16rep3_fold_0	4673.431818181818	0.713364554637282	0.08697739552139372
hyperbolo_intactdirect_logal_agg_dimensions_dim16rep3_fold_1	4611.343511450382	0.720118436271108	0.08993772756208873
hyperbolo_intactdirect_logal_agg_dimensions_dim16rep3_fold_2	5040.961832061069	0.6936516308119363	0.06420857770552031
hyperbolo_intactdirect_logal_agg_dimensions_dim16rep3_fold_3	4821.778625954198	0.7034303018636023	0.088703946947467
hyperbolo_intactdirect_logal_agg_dimensions_dim20rep0_fold_0	4690.356060606061	0.715941230486685	0.08803355020036539
hyperbolo_intactdirect_logal_agg_dimensions_dim20rep0_fold_1	5558.3511450381675	0.6672107332870691	0.09075700875174283
hyperbolo_intactdirect_logal_agg_dimensions_dim20rep0_fold_2	5242.3511450381675	0.682501966227157	0.08500877431586878
hyperbolo_intactdirect_logal_agg_dimensions_dim20rep0_fold_3	4830.053435114503	0.7047426718297658	0.0904503536632276
hyperbolo_intactdirect_logal_agg_dimensions_dim20rep1_fold_0	5126.787878787879	0.6898457300275482	0.07880239396469323
hyperbolo_intactdirect_logal_agg_dimensions_dim20rep1_fold_1	4501.67175572519	0.7296821651630813	0.10318941616319481
hyperbolo_intactdirect_logal_agg_dimensions_dim20rep1_fold_2	5363.93893129771	0.6743779782558409	0.08262824795084549
hyperbolo_intactdirect_logal_agg_dimensions_dim20rep1_fold_3	5063.343511450382	0.6908582048111594	0.08055404652149065
hyperbolo_intactdirect_logal_agg_dimensions_dim20rep2_fold_0	4752.454545454545	0.7125858585858587	0.0771966577791359
hyperbolo_intactdirect_logal_agg_dimensions_dim20rep2_fold_1	4520.7099236641225	0.7287050659264399	0.10752554685087778
hyperbolo_intactdirect_logal_agg_dimensions_dim20rep2_fold_2	5450.801526717557	0.6650677770067083	0.06982654588259496
hyperbolo_intactdirect_logal_agg_dimensions_dim20rep2_fold_3	4432.267175572519	0.7266161216043121	0.09620836890922585
hyperbolo_intactdirect_logal_agg_dimensions_dim20rep3_fold_0	4912.992424242424	0.701169880624426	0.11682776533905463
hyperbolo_intactdirect_logal_agg_dimensions_dim20rep3_fold_1	4892.954198473282	0.7071663196854037	0.09121581771952576
hyperbolo_intactdirect_logal_agg_dimensions_dim20rep3_fold_2	5157.503816793893	0.6856904927133934	0.07287186247040592
hyperbolo_intactdirect_logal_agg_dimensions_dim20rep3_fold_3	4799.900763358779	0.702206780639859	0.09644347244921185
