	HGNC
427	FBN1
428	CAV3
429	ADH1C
430	SLC22A5
431	GJA5
432	RBCK1
433	TFR2
434	RB1CC1
435	APOA2
436	PHKB
437	PKP2
438	SGCD
439	TSC1
440	LIMS2
