GeneA GeneB
2334 10168
91663 92126
341799 64072
399909 55182
220988 5093
1479 7580
40 9672
200312 140701
9247 126364
386672 170692
90060 6861
56996 5292
1756 2956
91151 23387
126299 128272
128367 64946
9755 40
89848 30009
79324 79009
6635 3749
340543 3760
402415 81559
54885 148268
84667 283554
285966 6434
29085 22879
54850 65264
23732 93377
154790 23277
1002 84790
23230 6491
26173 9112
1339 5450
80317 63827
155184 5408
60437 2108
390067 164633
678 7349
1396 6494
9038 2101
83449 23334
2334 64167
139728 2565
134265 10489
90355 54876
7169 5986
4668 3294
347148 153328
345462 26005
389432 80218
151056 79369
10395 3703
375611 152
390259 91151
6351 5926
84861 126006
256309 400935
11188 79009
7866 55958
390259 55929
22885 9149
117153 22897
402682 6502
81628 3198
345462 126299
1756 55133
408263 4692
79817 6888
55964 4637
22824 54876
7572 11313
113791 2301
28511 4637
904 51027
51090 3049
222950 81628
81628 50628
5154 27252
85236 124790
3750 138716
4889 11313
23096 23403
55331 2624
84640 124961
8022 646
285671 64856
121364 391112
7114 5753
55285 148268
4077 55859
9856 126353
100144748 56672
83590 5187
10075 10633
6217 338761
286749 84467
2870 402682
114787 10683
23014 6018
10383 342132
6921 8690
338398 10642
54475 343169
7004 284273
121256 9889
4796 285193
7079 10971
29801 81569
93650 256394
57722 51127
66008 10014
7320 770
2261 388591
729665 80217
54850 91544
25850 79697
1735 5534
885 54462
113235 353133
22907 28511
29993 1487
337876 10971
114991 4974
23439 8330
3909 50835
56986 10825
154790 340990
4430 11021
55582 5143
7376 11345
51720 1346
347475 8434
729956 3195
10052 55929
381 57095
54801 7158
9034 333929
9684 23507
58473 54344
8241 26984
1819 8089
287015 343263
6671 285126
83714 6840
4902 5792
85459 54843
154790 9498
55665 8341
57479 63928
91151 2595
27332 9668
4430 5956
4649 84243
23020 51127
3899 9028
345462 7574
387522 23326
375791 220296
22859 79817
57455 81282
645369 27165
57721 9721
7345 3761
23555 10489
146212 26585
7076 430
9351 10076
132160 1608
222183 63941
23358 124857
92293 79155
56131 79839
10168 726
7004 5080
7745 124857
6748 8045
26873 9513
23241 149345
23363 27112
8479 27030
387763 3899
345462 90506
4886 387509
85438 533
8330 65997
6431 100128731
57455 23644
147381 123879
199953 504191
164832 22980
375791 56675
10858 55188
4809 116729
11188 23277
554235 56341
128434 4692
832 2101
22882 9812
10980 84926
79413 255631
221336 7574
6750 84504
245928 161394
8992 54876
200894 118460
51285 93081
164633 2641
26167 145483
6839 146547
84312 6181
6499 9028
89801 7075
79665 64375
60436 84926
8204 256949
7916 92815
4994 732
341799 375790
7730 1103
186 23507
6878 219875
9666 4902
8341 126006
154214 54766
8668 79002
554235 7158
2902 10472
116535 10076
23014 58473
55312 84656
5569 339665
4010 55330
114885 100131378
9994 27332
11070 399473
83642 201164
94005 22984
4300 196403
5166 51596
54442 121340
162282 1339
27068 837
10683 126374
9684 440503
25817 9698
202333 7733
100507050 10633
90060 5871
92293 55778
1365 4832
4077 400935
8555 26508
9755 4209
1191 28968
83478 10024
6323 554235
4851 57210
157869 116535
129881 196951
203522 80021
345930 79958
51360 121340
6461 5161
202243 23224
138803 81671
2550 57106
27332 4692
139189 9543
1849 7580
64167 55011
79628 7483
1490 147807
63035 258010
6949 147646
158835 345275
2623 26051
54361 126917
3603 23417
55422 57148
8330 284058
65109 129852
1756 202052
1454 50861
23269 8330
7080 11313
53822 10089
9668 81627
527 9351
203197 79009
7066 81618
375704 64766
84206 5865
51647 3228
5870 64856
79633 579
50810 64856
56850 4692
285641 10367
84812 84787
55721 55755
7545 9129
6597 10166
55502 113419
1062 51605
347404 5609
8775 7067
402682 80055
392862 353134
348303 10588
342979 114770
399512 7106
554235 157869
219858 10039
55150 1119
1565 94233
6425 1263
51477 64766
23314 284069
10194 55628
7732 54328
22907 9412
23218 57215
56126 63892
139170 152273
6640 10489
26873 64943
64333 51196
10869 286053
221981 100170841
10857 23020
30832 8927
23424 23558
7425 26128
115265 60491
83933 10849
84905 9755
222194 79413
6191 10634
8386 27245
9260 5010
492311 23032
6165 55831
51299 1747
84687 64766
127435 3028
80115 10573
23020 9351
81628 10163
3200 343263
23467 55741
2101 5563
6461 122809
2619 7572
8985 8459
115861 57542
93979 80025
283489 57697
1453 9092
84079 3854
6609 51027
23237 55321
91975 27124
11151 4692
83463 121340
60436 9049
4435 2166
8341 348793
84330 7556
100287284 100125288
84667 89792
3861 23401
157869 84687
11145 10965
6201 5092
2644 913
156 25798
5170 2101
8941 2329
203523 51009
441669 26273
9581 55128
25789 79697
4007 1796
91 84957
60436 51160
388341 26873
375791 51412
286380 27293
84975 4000
124857 9049
1856 6886
51616 23507
55554 57565
347404 338761
6310 4212
407738 10197
554235 29781
116729 147040
9114 6166
401036 84939
79442 27112
146227 5999
256006 23361
10586 2204
11073 641654
9777 2249
3400 643866
100170841 9520
7004 51195
84302 3226
25794 84446
222229 128272
26267 64766
283212 55194
64478 4326
26526 121391
23154 2827
10168 7022
91392 83852
55214 85438
345462 9668
400 1847
26496 186
989 54623
23598 55337
6949 10842
8905 117608
126520 84193
148254 11201
5763 4076
25794 58158
25980 25953
57369 51127
286827 1117
2846 7549
259286 126306
5411 6886
10734 401145
51780 147929
9668 9810
89953 30846
55777 57216
90639 22876
390059 57501
222659 6449
1672 1413
10497 286046
5956 10499
84687 5502
55282 64856
126119 5094
57381 2662
9935 91300
345462 23013
4886 10168
26529 9722
54876 25896
79675 90417
55859 10803
118460 84926
9037 81027
8330 127428
285349 10961
117608 22893
399671 100130742
79807 374879
9757 219749
132160 4976
2649 115196
55109 4053
9820 338699
2539 1002
100507055 6580
55777 58158
2323 4685
1462 58475
113220 285349
11007 399474
11282 9028
23125 93380
7712 11015
644943 55937
199731 4692
430 1131
3692 7170
6844 199731
25789 9202
7349 80148
80863 1106
6426 6135
392390 3060
4212 54627
60673 57106
3188 5526
3188 54532
1173 26121
57709 57060
1311 1032
5727 51412
55888 6457
83887 1024
64760 11322
51503 10000
59348 55800
25798 10726
2057 7574
84467 11201
5594 92799
89801 6018
9049 55128
9618 341799
390067 80004
55802 9684
2053 219285
7772 10825
286527 57096
9351 448834
54551 143686
53822 84067
9185 117608
