GeneA GeneB
4200 7538
6207 23204
4072 896
9093 3945
4864 23670
6778 10923
840 23585
644 9973
6818 9787
64863 5092
537 2261
26298 79080
5699 958
161725 22827
7543 54800
1105 5255
9123 23406
1606 5331
11044 5720
22809 8895
128 10559
23097 10063
22828 55008
58495 6304
593 1475
4089 9518
5690 1465
4723 310
5590 3482
6427 642
27 9801
79947 6402
2064 7103
9817 200081
10237 23531
23139 29777
847 11157
5708 23304
3556 133
7357 23368
356 4282
9184 5901
822 3240
11105 1870
712 2673
2188 2171
51728 1066
670 23463
10559 10038
1287 7076
1009 23636
8711 891
1891 26872
9625 85236
2180 1104
5530 10493
230 1001
10525 2731
255725 958
1398 10059
3925 6909
8826 5467
7376 9143
387 375346
56675 22934
9183 6382
6772 6720
3636 3489
6419 23387
57551 10493
3665 26020
10269 80212
117196 501
3313 8243
310 5971
58495 23383
7444 3875
9276 9181
4148 727
10873 4282
23528 10682
9833 54704
57448 10046
65975 51531
3726 25844
1728 9686
4092 2959
55165 79672
4089 6813
340371 53343
8915 7846
115 9695
3113 3551
6337 10541
10682 256364
57192 29978
5471 9551
10007 6286
5079 10285
1455 30849
7416 8445
1746 11197
5527 3800
8322 51021
6233 4830
58190 22883
22794 29095
1123 80347
6810 3909
4351 10953
26277 55790
8678 6938
57448 3162
2235 10273
4926 6275
79961 9761
130557 12
1728 79080
112858 22827
3815 2767
4817 5467
7088 6873
9246 10254
51027 1022
5091 9690
9641 9738
58472 5357
5345 4830
81788 3934
55038 9277
3485 1183
3609 1212
116519 6812
91754 9670
8550 23386
8702 5998
27035 23210
84634 58472
7422 6509
2150 392
4723 26001
1788 211
10730 23635
4804 85236
2548 695
5327 6988
5608 10962
26353 6919
9908 51001
4482 6697
26054 10057
9133 79073
51293 10436
3588 51081
7486 302
11343 10493
57172 8653
2050 8991
3320 7153
1385 506
8738 55002
10312 2523
6195 28513
2987 3162
90 10551
2145 6856
10254 23245
10953 10112
386724 79902
1513 182
26001 51293
1455 5901
11331 6118
23647 3265
50604 5831
9133 27346
23029 22948
6988 10180
4792 6908
3560 8683
10657 5111
10491 5971
22889 200081
6389 6675
22794 7416
3755 22841
10202 664
6927 6603
26762 375346
7525 5588
200081 55008
51222 22827
9014 51021
55486 11010
2034 6192
23530 12
27242 54962
4907 81
958 2548
1955 1649
1525 79611
5184 23091
25800 51170
488 6048
5869 10298
25799 6275
80777 51021
6576 3930
28969 63933
2593 6192
2100 79902
4698 56924
54941 5588
5690 4172
23770 22889
31 6304
27035 3930
23451 5058
7405 2054
7264 5092
332 9988
1123 9695
644 10615
94235 124583
54578 1465
23291 7099
11108 23406
10614 1891
3651 1808
2067 51071
8892 79094
2274 23212
4323 10494
3656 10013
1009 1978
8914 6988
892 78994
222545 10465
4713 6050
9924 23705
29957 5720
10450 4174
7570 1465
2188 6192
2735 5869
5607 994
23221 994
11214 23659
23621 10318
2146 5198
10221 10617
1514 58478
4016 79050
5716 11345
5327 90861
4893 8971
91464 10552
58495 50628
3566 8550
1718 813
5710 8208
4142 3682
641 3611
51635 55781
259249 9915
2078 6697
55608 6678
7389 8914
8772 445
1666 51026
5523 51385
998 22934
8804 9801
3992 91782
9289 23161
10614 4118
8802 9467
8565 10273
6182 1209
2581 56997
1936 1465
7001 1514
8517 4289
728642 7866
4154 30001
8543 9270
3157 10589
7484 6461
84109 55033
1718 5211
8444 51382
5599 9270
6776 58533
2355 57215
79751 10551
26137 5693
4170 3454
7295 9688
1455 26520
10616 2770
1244 375346
8565 5354
2678 10013
5710 1509
7158 58533
4089 991
7071 4118
10971 1978
57448 51171
10112 58472
10488 1314
5264 64781
5104 991
200879 10273
140609 5223
6427 393
23635 5111
7251 9928
5997 8895
4172 4174
5873 1978
6390 64793
50943 9518
3227 310
9831 8870
6832 8574
9632 10273
56938 22841
23443 8449
694 79612
3157 843
51203 23522
85442 29890
3008 54438
8527 7277
965 1021
27242 64151
5184 51691
5435 5605
1027 55012
2475 23368
51804 835
8613 9897
50943 3486
84617 2778
9703 6388
984 11011
431707 27122
4204 4850
1382 2778
84890 7167
90678 64787
7384 80758
10652 50813
10247 3315
1287 11284
4299 5627
6818 8518
6390 55731
2885 55216
6990 5018
1950 26872
2066 388650
7335 23576
55556 1301
672 55793
56997 7045
3880 3385
3131 2195
8836 9847
3551 7504
9412 207
207 2109
5018 8936
84206 23397
5435 10494
5162 2961
1026 22926
27 54521
1513 6390
5306 23131
5245 57804
10559 5693
8623 3815
2770 10007
55723 2131
79145 6277
8892 6868
1212 51282
9833 57192
3456 3161
1810 79080
27032 1054
659 54566
23 6402
641 5827
6307 55031
54623 55775
6284 8574
970 10237
29078 6195
166793 22905
874 10956
1460 1051
5480 5058
93594 25825
55818 665
4605 3981
51347 10535
136051 3162
7099 22948
2821 10046
182 1665
10465 3383
4916 80145
4923 1396
57449 10057
83743 5743
3074 5300
23075 1019
8985 10973
2879 80347
8349 79143
6009 23647
151126 9854
84890 6184
5770 6723
8650 115
256281 9518
8833 80148
4637 10046
6392 9690
6511 54504
9886 2237
8192 7980
6646 2146
840 8869
2834 9670
4609 9221
629 25966
5170 4602
8535 2517
55486 79921
23528 25874
3172 9787
29079 51495
9831 79709
6093 7846
9488 54442
1031 466
5934 10362
4016 56995
10694 1066
5573 26520
54496 2542
4436 23131
3827 302
6050 60626
5610 4069
1958 8869
5747 7128
966 10165
50810 7027
51444 23338
55300 81539
7165 2852
6818 23635
238 1643
51776 6342
